,Path,No_Error_Wafer,Target,count,Error_Chip_Rate,Yield
57,Path_31211,3,1494,9,0.083,0.917
61,Path_31322,1,1382,9,0.07677777777777778,0.9232222222222222
5,Path_11233,2,1808,12,0.07533333333333334,0.9246666666666666
71,Path_32333,3,2609,18,0.07247222222222222,0.9275277777777777
55,Path_31122,1,1274,9,0.07077777777777777,0.9292222222222222
13,Path_12222,4,4545,33,0.06886363636363636,0.9311363636363637
59,Path_31233,4,1213,9,0.06738888888888889,0.9326111111111111
47,Path_23133,3,2635,20,0.065875,0.934125
54,Path_31111,4,3423,26,0.06582692307692307,0.9341730769230769
38,Path_22133,5,3152,24,0.06566666666666666,0.9343333333333333
35,Path_21333,5,3492,28,0.062357142857142854,0.9376428571428571
19,Path_13122,1,1474,12,0.06141666666666667,0.9385833333333333
56,Path_31133,4,3169,26,0.06094230769230769,0.9390576923076923
3,Path_11211,2,1439,12,0.059958333333333336,0.9400416666666667
20,Path_13133,3,2637,22,0.05993181818181818,0.9400681818181819
17,Path_12333,5,3462,29,0.05968965517241379,0.9403103448275862
66,Path_32211,1,1064,9,0.059111111111111114,0.9408888888888889
44,Path_22333,2,2943,26,0.056596153846153845,0.9434038461538462
27,Path_21111,1,3273,29,0.05643103448275862,0.9435689655172413
18,Path_13111,4,3269,29,0.056362068965517244,0.9436379310344828
67,Path_32222,1,4825,43,0.056104651162790696,0.9438953488372093
10,Path_12122,1,1334,12,0.05558333333333333,0.9444166666666667
58,Path_31222,5,3861,35,0.055157142857142856,0.9448428571428571
36,Path_22111,2,3182,29,0.05486206896551724,0.9451379310344827
60,Path_31311,3,2846,26,0.05473076923076923,0.9452692307692308
49,Path_23222,4,4692,43,0.05455813953488372,0.9454418604651162
45,Path_23111,4,2833,26,0.05448076923076923,0.9455192307692307
69,Path_32311,1,2827,26,0.054365384615384614,0.9456346153846154
16,Path_12322,0,1299,12,0.054125,0.945875
40,Path_22222,6,4767,45,0.05296666666666667,0.9470333333333333
37,Path_22122,2,1271,12,0.052958333333333336,0.9470416666666667
31,Path_21222,4,4430,42,0.05273809523809524,0.9472619047619047
72,Path_33111,1,2724,26,0.052384615384615384,0.9476153846153846
63,Path_32111,1,2691,26,0.05175,0.94825
80,Path_33333,3,2665,26,0.05125,0.94875
50,Path_23233,0,908,9,0.050444444444444445,0.9495555555555556
70,Path_32322,0,904,9,0.050222222222222224,0.9497777777777778
24,Path_13311,1,2882,29,0.04968965517241379,0.9503103448275863
26,Path_13333,1,2878,29,0.04962068965517241,0.9503793103448276
29,Path_21133,0,2871,29,0.0495,0.9505
22,Path_13222,2,4250,43,0.04941860465116279,0.9505813953488372
62,Path_31333,0,2554,26,0.049115384615384616,0.9508846153846153
65,Path_32133,1,2537,26,0.04878846153846154,0.9512115384615385
9,Path_12111,3,2907,30,0.04845,0.95155
15,Path_12311,1,2809,29,0.04843103448275862,0.9515689655172413
32,Path_21233,1,1157,12,0.04820833333333333,0.9517916666666667
68,Path_32233,0,867,9,0.04816666666666667,0.9518333333333333
28,Path_21122,0,1155,12,0.048125,0.951875
2,Path_11133,2,2885,30,0.04808333333333333,0.9519166666666666
41,Path_22233,1,1053,11,0.047863636363636365,0.9521363636363637
46,Path_23122,0,858,9,0.04766666666666667,0.9523333333333334
4,Path_11222,2,3861,41,0.04708536585365854,0.9529146341463415
0,Path_11111,1,2703,29,0.04660344827586207,0.953396551724138
8,Path_11333,1,2685,29,0.04629310344827586,0.9537068965517241
39,Path_22211,1,1017,11,0.04622727272727273,0.9537727272727272
11,Path_12133,1,2640,29,0.04551724137931035,0.9544827586206897
77,Path_33233,0,812,9,0.04511111111111111,0.9548888888888889
6,Path_11311,0,2706,30,0.0451,0.9549
42,Path_22311,2,2343,26,0.045057692307692306,0.9549423076923077
23,Path_13233,0,1072,12,0.04466666666666667,0.9553333333333334
78,Path_33311,2,2301,26,0.04425,0.95575
74,Path_33133,0,2291,26,0.044057692307692305,0.9559423076923077
53,Path_23333,1,2271,26,0.043673076923076926,0.9563269230769231
43,Path_22322,0,784,9,0.043555555555555556,0.9564444444444444
51,Path_23311,0,2225,26,0.04278846153846154,0.9572115384615385
25,Path_13322,0,1025,12,0.042708333333333334,0.9572916666666667
75,Path_33211,0,768,9,0.042666666666666665,0.9573333333333334
12,Path_12211,1,1010,12,0.042083333333333334,0.9579166666666666
48,Path_23211,0,750,9,0.041666666666666664,0.9583333333333334
1,Path_11122,0,988,12,0.041166666666666664,0.9588333333333333
7,Path_11322,0,982,12,0.040916666666666664,0.9590833333333333
34,Path_21322,0,978,12,0.04075,0.95925
33,Path_21311,1,2359,29,0.04067241379310345,0.9593275862068965
64,Path_32122,0,727,9,0.04038888888888889,0.9596111111111111
52,Path_23322,0,710,9,0.03944444444444444,0.9605555555555556
21,Path_13211,0,900,12,0.0375,0.9625
76,Path_33222,1,2525,34,0.03713235294117647,0.9628676470588236
79,Path_33322,0,601,9,0.03338888888888889,0.9666111111111111
73,Path_33122,0,597,9,0.033166666666666664,0.9668333333333333
14,Path_12233,0,767,12,0.03195833333333333,0.9680416666666667
30,Path_21211,1,761,12,0.03170833333333333,0.9682916666666667
